smiles,cid
CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,2913
CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,135398737
C1=CC(=CC=C1CC(C(=O)O)N)Cl,4652
CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O,64927
CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,2796
C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,2803
CN(C1CCCCC1)C(=O)CCCOC2=CC3=C(C=C2)NC(=O)C=C3,2753
CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,2726
CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,2762
CCCC(C)(COC(=O)N)COC(=O)NC(C)C,2576
CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl.Cl,19379
C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl,2910
CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,3100
CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-],10649
CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,65327
CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31.Cl,6419921
C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,3053
CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,3019
CC(C)C1=C(C(=CC=C1)C(C)C)O,4943
CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC,9363
CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,53708
CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-],8307
CCC1(CC2=CC=CC=C2O1)C3=NCCN3,72016
C(COCCOCCN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,6207
C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,3396
CC1=NC2=C(N1)C(=O)N(C(=O)N2CC3=CC=CO3)C,3433
C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,3331
CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,3339
CCOC(=O)C1=C2CN(C(=O)C3=C(N2C=N1)C=CC(=C3)F)C,3373
CCCCC1=CN=C(C=C1)C(=O)O,3442
C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,3356
C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O,3341
C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N,5702160
CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,3478
C1CCC(CC1)(CC(=O)O)CN,3446
COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,3488
C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl.Cl,71401
C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,135398740
C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,5280961
C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,3559
C1=CC=C2C(=C1)C=NN=C2NN.Cl,9351
C1CC(C2=C(C3=CC=CC=C3N=C2C1)N)O.C(=C\C(=O)O)\C(=O)O,5702293
C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,3639
C1=C(NC=N1)CCN,774
C1=CC(=C(C=C1CCN)O)O,681
C(=O)(N)NO,3657
C1=CC(=CC=C1O)O,785
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,3672
C1CC(=O)NN=C1C2=CC=C(C=C2)N3C=CN=C3,55918
CC(C)NCC(C1=CC(=C(C=C1)O)O)O,3779
CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,3696
CCN1C=CN=C1CC2COC3=CC=CC=C3O2,133621
CN1CCC(=C2C3=C(C(=O)CC4=CC=CC=C42)SC=C3)CC1,3827
C1=CC=C(C=C1)N2C3=CC=CC=C3C(C2=O)(CC4=CC=NC=C4)CC5=CC=NC=C5,3932
CC(C1=CC=C(C=C1)CC2CCCC2=O)C(=O)O,3965
C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,3878
C1=CC=C2C(=C1)C(=NN2CC3=C(C=C(C=C3)Cl)Cl)C(=O)O,39562
CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,3899
CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,3676
CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,3883
CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,3957
CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,4170
CC1=CC=CC=C1CNC2=C3C(=NC=N2)N(C=N3)[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O,65710
CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,4168
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,4122
CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,4184
CCO/C(=N/C1=C[N+](=NO1)N2CCOCC2)/[O-],5353788
C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,4201
CC1=CC(=C(C=C1OC(=O)C)C(C)C)OCC[NH+](C)C.[Cl-],13758
CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,896
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC.Cl,119442
CC1(C2CCC(C2)C1(C)NC)C,4032
CC12CC3CC(C1)(CC(C3)(C2)N)C,4054
CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,4507
CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC,4497
CNCCC(C1=CC=CC=C1)OC2=CC=CC=C2OC,4500
CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O,4567
COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O,4418
CS(=O)(=O)NC1=C(C=C(C=C1)[N+](=O)[O-])OC2=CC=CC=C2,4495
C1=CC=C(C=C1)CNC(=O)CCNNC(=O)C2=CC=NC=C2,4472
C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O,4477
CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,4485
CC1(C(=O)N(C(=O)N1)C2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)C,4493
CC1=NC=C(C(=N1)N)CNC(=O)N(CCCl)N=O,39214
C1=CC(=CC=C1C(CN)O)O,4581
CCN1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O,4628
CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C,4636
C1C(CN(C1=O)CC(=O)N)O,4626
CC1=C(C(=O)N2C=CC=CC2=N1)CCN3CCC(CC3)C(=O)C4=CC=C(C=C4)F,4847
CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,4828
CCCCCCCCCCCCCCCC(=O)NCCO,4671
CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,4740
C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,16362
CC1=CN(C(=O)C=C1)C2=CC=CC=C2,40632
COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC.Cl,6084
CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,4927
CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,4932
C1CC(=O)N(C1)CC(=O)N,4843
CN(C)CCN(CC1=CC=C(C=C1)OC)C2=CC=CC=N2,4992
CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,54676228
CCCN1C2=C(C(=O)NC1=O)NC=N2,1676
C1CCC2=NN=NN2CC1,5917
C1=CC=C(C=C1)CCNN.OS(=O)(=O)O,61100
C1=CN=C(C=N1)C(=O)N,1046
CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,4909
CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,4848
CN(CC#C)CC1=CC=CC=C1.Cl,9373
CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,4781
CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13.Cl,6603149
C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC=CC=N4,4850
CCN(CC)CCNC(=O)C1=CC=C(C=C1)N,4913
CCCN1C=NC2=C1C(=O)N(C(=O)N2C)CCCCC(=O)C,4938
CCN(CC)CCOC(=O)C1=CC=C(C=C1)N.Cl,5795
C1CN(CCN1)C2=NC3=CC=CC=C3C=C2.C(=C\C(=O)O)\C(=O)O,5702242
CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,3001055
CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3,5074
C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,5070
CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,5073
C1CC1C(C2CC2)NC3=NCCO3,68712
C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.Cl,54900
CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,5095
C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,445154
CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O,56959
C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,37542
C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CC4COC5=CC=CC=C5O4,5268
CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,5253
C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N,5335
C1CN(CCC1N)C2=NC(=CC=C2)Cl.Cl,131746
CC1CC(=O)NN=C1C2=CC=C(C=C2)NC(=NC)NC#N,72124
CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,2083
C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,8515
CC\1=C(C2=C(/C1=C\C3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,1548887
C1CNCC2=C1C(=O)NO2,3448
CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C3=CNC4=CC=CC=C43,656665
CC1=C2C(=CS1)C(=O)NC3=CC=CC=C3N2C(=O)CN4CCN(CC4)C,5387
C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,5426
CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC.Cl,5702214
C(CS(=O)(=O)O)N,1123
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,5505
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCCC2,5503
C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,5546
CN1C=NC2=C1C(=O)NC(=O)N2C,5429
C1CSSC1CCCCC(=O)O,864
C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl.Cl,62935
C1=CC(=C(C=C1C=C(C#N)C#N)O)O,2052
C1=CC=C(C(=C1)C(F)(F)F)N2C=CN=C2,1359
COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,5578
CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2.Cl,54840
CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C3=CC(=CC(=C3)Cl)Cl,671690
CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,5405
CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2,5593
CN1C(=CC(=O)N(C1=O)C)NCCCN2CCN(CC2)C3=CC=CC=C3OC,5639
C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br,2435
CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,2520
C=CC(CCC(=O)O)N,5665
CC1=C(C(=CC=C1)C)NC2=NCCCS2,5707
C1COCCN1C(=O)NCCNCC(COC2=CC=C(C=C2)O)O,155774
CC1=CC(=CC(=C1CC2=NCCN2)C)C(C)(C)C.Cl,5282386
CCCOC1=CC=CC=C1C2=NC3=NNN=C3C(=O)N2,135399235
COC1=C(C=CC(=C1)C2=NNC(=O)C=C2)OC(F)F,5723
CC[N+](C)(C)CC1=CC=CC=C1Br.CC1=CC=C(C=C1)S(=O)(=O)[O-],6100
C(P(=O)(O)[O-])(P(=O)(O)[O-])(Cl)Cl.[Na+].[Na+],31195
C1=CC(=CN=C1)CC2=CC3=C(C=C2)OC(=C3)C(=O)[O-].[Na+],23663954
CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl.C(CC(=O)O)C(=O)O,71399
CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)C1=CC(=C(C=C1)Cl)Cl.[Na+],23681233
CC1(CCCC(N1C)(C)C)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,60196260
[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.O.O.[Na+].[Na+].[Fe+4],11953895
C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,54670067
C[N+]1=CC=CC=C1/C=N/O.[Cl-],135445761
C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(=O)O)I)I)O,5803
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34,5857
CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13.[Br-],5883
C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,3440
CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,4174
CN(CCCCCCCCCCN(C)C(=O)OC1=CC=CC=C1[N+](C)(C)C)C(=O)OC2=CC=CC=C2[N+](C)(C)C.[Br-].[Br-],45105092
C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,5324
CCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,5995
C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4,5342
CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl,4993
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C,6009
CC1=CC(=O)C2=CC=CC=C2C1=O,4055
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,3278
C1=CC(=CN=C1)C(=O)O,938
C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,6047
C1CN=C(N1)CC2=CC=CC=C2.Cl,6048
C1CCCN(CCC1)CCN=C(N)N.OS(=O)(=O)O.OS(=O)(=O)O,60196261
CN1C=CNC1=S,1349907
CC1=CC(=O)N(N1C)C2=CC=CC=C2,2206
C1CN(C(=O)N1)C2=NC=C(S2)[N+](=O)[O-],6093
CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C,4044
C1=CC(=CC=C1C(=O)NCC(=O)O)N,2148
C1=CC2=C(C=C1Cl)N=C(O2)N,6103
CCOC1=CC=C(C=C1)NC(=O)C,4754
CC(C[N+](C)(C)C)OC(=O)C.[Cl-],6114
C[N+]1(CCC(=C(C2=CC=CC=C2)C3=CC=CC=C3)CC1)C.COS(=O)(=O)[O-],6126
CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2.OP(=O)(O)O.OP(=O)(O)O,6135
CCC1(CC(=O)NC(=O)C1)C,2310
CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O.Cl,54686764
C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,54704426
CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](/C(=C(/C7=N/C(=C\C8=N/C(=C(\C4=N5)/C)/[C@H](C8(C)C)CCC(=O)N)/[C@H]([C@]7(C)CC(=O)N)CCC(=O)N)\C)/[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],5311498
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3CCC(=O)C4,6231
C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,5215
C1[C@H](C(=O)NO1)N,6234
CC(C)[N+](C)(CCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)N)C(C)C,3775
C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,5340
CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O,5775
C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,2315
CCC1NC2=CC(=C(C=C2C(=O)N1)S(=O)(=O)N)Cl,6307
C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C.[Br-],6461
CCC1(C(=O)C=CNC1=O)CC,4994
C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,2732
CCC1(CC(=O)NC1=O)C,3291
