PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
61,144203612,3061720,CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
62,144203613,35370,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
63,144203614,2266,C(CCCC(=O)O)CCCC(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
64,144203615,2170,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
65,144203616,1727,C1=CN=CC=C1N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
66,144203617,2081,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Microsource
67,144203618,1989,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
68,144203619,2130,C1C2CC3CC1CC(C2)(C3)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
69,144203620,169371,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Microsource
70,144203621,5283389,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
71,144203622,119,C(CC(=O)O)CN,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
72,144203623,1967,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,28.7255,-66.4274,inconclusive antagonist,28.1796,-34.1413,SigmaAldrich
73,144203624,1935,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
74,144203625,2265,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],Inconclusive,10.0,,,inconclusive agonist,inconclusive agonist,19.9496,47.819,inactive,,0,SigmaAldrich
75,144203626,135398513,C1=NC2=C(N1COCCO)N=C(NC2=O)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
76,144203627,2244,CC(=O)OC1=CC=CC=C1C(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
77,144203628,2141,C(CN)CNCCSP(=O)(O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
78,144203629,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
79,144203630,2230,CN1CCC=C(C1)C(=O)OC,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
80,144203631,16231,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
81,144203632,564,C(CCC(=O)O)CCN,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
82,144203633,135401907,C1=NNC2=C1C(=O)NC=N2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NIEHS
83,144203634,2157,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,Inactive,0.0,,,inactive,inactive,,0,inconclusive antagonist,0.421632,-22.7356,BIOMOL
84,144203635,2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
85,144203636,2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
86,144203637,2196,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
87,144203638,4768,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
88,144203639,2471,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
89,144203640,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,10.1922,-27.2209,inconclusive antagonist,13.3332,-46.5795,BIOMOL
90,144203641,2284,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
91,144203642,2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
92,144203643,2477,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
93,144203644,2717,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
94,144203645,1687,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,33.4915,-114.729,active antagonist,28.1796,-113.362,BIOMOL
95,144203646,2765,C1CC1C2=CC=CC=C2OCC3=NCCN3,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
96,144203647,2708,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Microsource
97,144203648,2578,C(CCl)NC(=O)N(CCCl)N=O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
98,144203649,2754,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Microsource
99,144203650,6241,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
100,144203651,22420,C1CNP(=O)(OC1)N(CCCl)CCCl.O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
101,144203652,72276,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Microsource
102,144203653,2727,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
103,144203654,4211,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
104,144203655,2554,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,Inconclusive,20.0,,,active agonist,active agonist,2.87255,73.7025,inactive,,0,SigmaAldrich
105,144203656,2733,C1=CC2=C(C=C1Cl)NC(=O)O2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
106,144203657,2756,CC1=C(N=CN1)CSCCNC(=NC)NC#N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
107,144203658,2720,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NIEHS
108,144203659,5309446,C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
109,144203660,1547484,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
110,144203661,1355,C1CN(CCN1)C2=CC(=CC=C2)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
111,144203662,2812,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,Active,53.0,,,active antagonist,active antagonist,6.38752,-104.459,inactive,,0,"Prestwick Chemical, Inc."
112,144203663,2913,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,Inactive,0.0,,,inactive,inactive,,0,inconclusive antagonist,29.8493,-127.594,BIOMOL
113,144203664,135398737,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,Inactive,0.0,,,inactive,inactive,,0,inconclusive antagonist,29.8493,-28.7575,BIOMOL
114,144203665,4652,C1=CC(=CC=C1CC(C(=O)O)N)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Microsource
115,144203666,64927,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
116,144203667,2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
117,144203668,2801,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,Inconclusive,10.0,,,inconclusive agonist (cytotoxic),inconclusive agonist,,,inconclusive antagonist,28.1796,-65.2747,BIOMOL
118,144203669,2803,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
119,144203670,2753,CN(C1CCCCC1)C(=O)CCCOC2=CC3=C(C=C2)NC(=O)C=C3,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
120,144203671,2726,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Inactive,0.0,,,inactive,inactive,,0,active antagonist,29.8493,-59.1765,BIOMOL
121,144203672,2762,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
122,144203673,2576,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
123,144203674,19379,CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
124,144203675,2910,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
125,144203676,104920,C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,19.5704,-117.974,active antagonist,22.8175,-87.3317,BIOMOL
126,144203677,36811,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,33.4915,-109.424,active antagonist,28.1796,-124.593,BIOMOL
127,144203678,3100,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
128,144203679,10649,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-],Active,45.0,,,active antagonist,active antagonist,9.37559,-43.7556,inconclusive,,,"Prestwick Chemical, Inc."
129,144203680,65327,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
130,144203681,6419921,CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
131,144203682,3053,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Labotest
132,144203683,3019,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
133,144203684,3108,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,Inconclusive,30.0,,,inconclusive antagonist,inconclusive antagonist,25.1151,-40.0112,active agonist,10.5909,761.367,BIOMOL
134,144203685,4943,CC(C)C1=C(C(=CC=C1)C(C)C)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
135,144203686,9363,CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
136,144203687,9363,CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
137,144203688,53708,CC1=C(NC(=O)N1)C(=O)C2=CC=C(C=C2)SC,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
138,144203689,8307,CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
139,144203690,72016,CCC1(CC2=CC=CC=C2O1)C3=NCCN3,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
140,144203691,3194,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,28.7255,-83.9101,active antagonist,27.644,-110.985,SigmaAldrich
