cid,clean_smiles
72276,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2
2727,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
4211,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
2733,O=c1[nH]c2cc(Cl)ccc2o1
2756,CN=C(NC#N)NCCSCc1nc[nH]c1C
2720,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O
5309446,Clc1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1
1547484,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1
1355,Clc1cccc(N2CCNCC2)c1
2812,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
2913,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
135398737,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
4652,NC(Cc1ccc(Cl)cc1)C(=O)O
64927,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
2796,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
2803,Clc1cccc(Cl)c1NC1=NCCN1
2753,CN(C(=O)CCCOc1ccc2[nH]c(=O)ccc2c1)C1CCCCC1
2726,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
2762,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
2576,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
19379,CN(C)CCOC(=O)COc1ccc(Cl)cc1
2910,NS(=O)(=O)c1cc2c(cc1Cl)NC(C1CC3C=CC1C3)NS2(=O)=O
3100,CN(C)CCOC(c1ccccc1)c1ccccc1
10649,Cc1cc(N)c2ccccc2[n+]1CCCCCCCCCC[n+]1c(C)cc(N)c2ccccc21
65327,CNCCCN1c2ccccc2CCc2ccccc21
6419921,CN(C)CC/C=C1\c2ccccc2COc2ccccc21
3053,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O
3019,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
4943,CC(C)c1cccc(C(C)C)c1O
9363,CCN(CC)C(=O)c1ccc(O)c(OC)c1
53708,CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1
8307,CC[N+](C)(C)c1cccc(O)c1
72016,CCC1(C2=NCCN2)Cc2ccccc2O1
6207,O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O
3396,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
3433,Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2Cc1ccco1
3331,NC(=O)OCC(COC(N)=O)c1ccccc1
3339,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
3373,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2
3442,CCCCc1ccc(C(=O)O)nc1
3356,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F
3341,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
5702160,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1
3478,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1
3446,NCC1(CC(=O)O)CCCCC1
3488,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
71401,NC(N)=NC(=O)Cc1c(Cl)cccc1Cl
135398740,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1
5280961,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12
3559,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
9351,NNc1nncc2ccccc12
5702293,Nc1c2c(nc3ccccc13)CCCC2O
3639,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
774,NCCc1cnc[nH]1
681,NCCc1ccc(O)c(O)c1
3657,NC(=O)NO
785,Oc1ccc(O)cc1
3672,CC(C)Cc1ccc(C(C)C(=O)O)cc1
55918,O=C1CCC(c2ccc(-n3ccnc3)cc2)=NN1
3779,CC(C)NCC(O)c1ccc(O)c(O)c1
3696,CN(C)CCCN1c2ccccc2CCc2ccccc21
133621,CCn1ccnc1CC1COc2ccccc2O1
3827,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
3932,O=C1N(c2ccccc2)c2ccccc2C1(Cc1ccncc1)Cc1ccncc1
3965,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1
3878,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
39562,O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12
3899,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1
3676,CCN(CC)CC(=O)Nc1c(C)cccc1C
3883,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1
3957,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
4170,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C
65710,Cc1ccccc1CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
4168,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
4122,COC(=O)Nc1nc2ccc(C(=O)c3cccs3)cc2[nH]1
4184,CN1CCN2c3ccccc3Cc3ccccc3C2C1
5353788,CCO/C([O-])=N/c1c[n+](N2CCOCC2)no1
4201,N=c1nc(N2CCCCC2)cc(N)n1O
13758,CC(=O)Oc1cc(C(C)C)c(OCC[NH+](C)C)cc1C
896,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
119442,COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC
4032,CNC1(C)C2CCC(C2)C1(C)C
4054,CC12CC3CC(C)(C1)CC(N)(C3)C2
4507,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
4497,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
4500,CNCCC(Oc1ccccc1OC)c1ccccc1
4567,CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1
4418,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1
4495,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1
4472,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1
4477,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
4485,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]
4493,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
39214,Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1
4581,NCC(O)c1ccc(O)cc1
4628,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3
4636,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
4626,NC(=O)CN1CC(O)CC1=O
4847,Cc1nc2ccccn2c(=O)c1CCN1CCC(C(=O)c2ccc(F)cc2)CC1
4828,CC(C)NCC(O)COc1cccc2[nH]ccc12
4671,CCCCCCCCCCCCCCCC(=O)NCCO
4740,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
16362,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
40632,Cc1ccc(=O)n(-c2ccccc2)c1
6084,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
4927,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
4932,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1
4843,NC(=O)CN1CCCC1=O
4992,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
54676228,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
1676,CCCn1c(=O)[nH]c(=O)c2[nH]cnc21
5917,C1CCc2nnnn2CC1
61100,NNCCc1ccccc1
1046,NC(=O)c1cnccn1
4909,CCC1(c2ccccc2)C(=O)NCNC1=O
4848,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
9373,C#CCN(C)Cc1ccccc1
4781,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
6603149,CNCCCC1c2ccccc2C=Cc2ccccc21
4850,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1
4913,CCN(CC)CCNC(=O)c1ccc(N)cc1
4938,CCCn1cnc2c1c(=O)n(CCCCC(C)=O)c(=O)n2C
5795,CCN(CC)CCOC(=O)c1ccc(N)cc1
5702242,c1ccc2nc(N3CCNCC3)ccc2c1
3001055,CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
5074,Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1
5070,Nc1nc2ccc(OC(F)(F)F)cc2s1
5073,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
68712,C1COC(NC(C2CC2)C2CC2)=N1
54900,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
5095,CCCN(CCC)CCc1cccc2c1CC(=O)N2
445154,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
56959,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
37542,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1
5268,O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2
5253,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
5335,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1
131746,NC1CCN(c2cccc(Cl)n2)CC1
72124,CN=C(NC#N)Nc1ccc(C2=NNC(=O)CC2C)cc1
2083,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
8515,O=C1c2ccccc2-c2n[nH]c3cccc1c23
1548887,CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1
3448,O=c1[nH]oc2c1CCNC2
656665,CN1[C@@H]2CC[C@H]1CC(OC(=O)c1c[nH]c3ccccc13)C2
5387,Cc1scc2c1N(C(=O)CN1CCN(C)CC1)c1ccccc1NC2=O
5426,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
5702214,CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC
1123,NCCS(=O)(=O)O
5505,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
5503,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
5546,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
5429,Cn1cnc2c1c(=O)[nH]c(=O)n2C
864,O=C(O)CCCCC1CCSS1
62935,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
2052,N#CC(C#N)=Cc1ccc(O)c(O)c1
1359,FC(F)(F)c1ccccc1-n1ccnc1
5578,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
54840,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
671690,CN1[C@@H]2CC[C@H]1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2
5405,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
5593,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1
5639,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1
2435,Brc1c(NC2=NCCN2)ccc2nccnc12
2520,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
5665,C=CC(N)CCC(=O)O
5707,Cc1cccc(C)c1NC1=NCCCS1
155774,O=C(NCCNCC(O)COc1ccc(O)cc1)N1CCOCC1
5282386,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1
135399235,CCCOc1ccccc1-c1nc2n[nH]nc2c(=O)[nH]1
5723,COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F
6100,CC[N+](C)(C)Cc1ccccc1Br
31195,O=P([O-])(O)C(Cl)(Cl)P(=O)([O-])O
23663954,O=C([O-])c1cc2cc(Cc3cccnc3)ccc2o1
71399,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
23681233,CCCCCN(CCCCC)C(=O)C(CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1
60196260,CN1C(C)(C)CCCC1(C)C
11953895,[C-]#N
54670067,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
135445761,C[n+]1ccccc1/C=N/O
5803,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1
5857,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
5883,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21
3440,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
4174,CC(C)(C(=O)c1cccnc1)c1cccnc1
45105092,CN(CCCCCCCCCCN(C)C(=O)Oc1ccccc1[N+](C)(C)C)C(=O)Oc1ccccc1[N+](C)(C)C
5324,NC(N)=NS(=O)(=O)c1ccc(N)cc1
5995,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
5342,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
4993,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
6009,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
4055,CC1=CC(=O)c2ccccc2C1=O
3278,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
938,O=C(O)c1cccnc1
6047,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
6048,c1ccc(CC2=NCCN2)cc1
60196261,NC(N)=NCCN1CCCCCCC1
1349907,Cn1cc[nH]c1=S
2206,Cc1cc(=O)n(-c2ccccc2)n1C
6093,O=C1NCCN1c1ncc([N+](=O)[O-])s1
4044,Cc1cccc(Nc2ccccc2C(=O)O)c1C
2148,Nc1ccc(C(=O)NCC(=O)O)cc1
6103,Nc1nc2cc(Cl)ccc2o1
4754,CCOc1ccc(NC(C)=O)cc1
6114,CC(=O)OC(C)C[N+](C)(C)C
6126,C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1
6135,COc1cc(NC(C)CCCN)c2ncccc2c1
2310,CCC1(C)CC(=O)NC(=O)C1
54686764,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12
54704426,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
5311498,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[N-][C@@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n6cnc7cc(C)c(C)cc76)O[C@@H]1CO)[C@H]5CC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O
6231,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C
5215,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
6234,N[C@@H]1CONC1=O
3775,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C
5340,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
5775,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
2315,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
6307,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1
6461,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
4994,CCC1(CC)C(=O)C=CNC1=O
2732,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
3291,CCC1(C)CC(=O)NC1=O
2955,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
6634,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1
5330,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
3828,COc1c2occc2c(OC)c2c(=O)cc(C)oc12
4760,O=C1c2ccccc2C(=O)C1c1ccccc1
6741,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12
192197,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1
667476,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1
6769,CCOC(=O)Oc1c(OC)cc(C(=O)O[C@@H]2C[C@@H]3CN4CCc5c([nH]c6cc(OC)ccc56)[C@H]4C[C@@H]3[C@H](C(=O)OC)[C@H]2OC)cc1OC
4806,O=C(O)c1ccccc1C(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
3025,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
6839,CN1C(=O)CC(c2ccccc2)C1=O
3292,CCN1C(=O)NC(c2ccccc2)C1=O
4075,Nc1ccc(O)c(C(=O)O)c1
5280567,Cc1cc(=O)oc2cc(O)ccc12
644020,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1
2343,NS(=O)(=O)c1cc2c(cc1Cl)NC(CSCc1ccccc1)=NS2(=O)=O
3293,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2
3516,COc1ccccc1OCC(O)CO
7172,CNCC(O)c1ccc(O)cc1
2337,CCOC(=O)c1ccc(N)cc1
2482,CCCCOC(=O)c1ccc(N)cc1
7184,CCCCOC(=O)c1ccc(O)cc1
3735,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O
204,NC(=O)NC1NC(=O)NC1=O
7638,Oc1ccc(OCc2ccccc2)cc1
1983,CC(=O)Nc1ccc(O)cc1
7699,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
15723,OC(c1ccccc1)(c1ccccc1)C1CCNCC1
5315,O=C(O)CCC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
3038,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
5104,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O
8480,NC(=O)Nc1ccc([As](=O)(O)O)cc1
5323,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1
4621,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1
5576,CN1C(=O)OC(C)(C)C1=O
5344,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
5319,Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1
5325,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
10133,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
275196,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C
4641,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
8520,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1
2788,Oc1c(I)cc(Cl)c2cccnc12
66063,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1
65464,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
5560,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O
3647,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O
67313,NCc1ccc(S(N)(=O)=O)cc1
3607,CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1
5328,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
5336,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
5430,c1ccc2[nH]c(-c3cscn3)nc2c1
2480,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1
9051,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C
