PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Antagonist Activity,Antagonist Potency (uM),Antagonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
8,144203559.0,2724411.0,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.C(=O)(C(=O)O)O.C(=O)(C(=O)[O-])O.C(=O)(C(=O)[O-])O,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,33.4915,-46.25,active antagonist,23.7101,-54.803,NCI
9,144203560.0,90454.0,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](C3=CC=NC4=CC=CC=C34)O,Inconclusive,10.0,,,inconclusive agonist,inconclusive agonist,8.41267,27.5735,inactive,,0,NCI
10,144203561.0,637566.0,CC(=CCC/C(=C/CO)/C)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
11,144203562.0,994.0,C1=CC=C(C=C1)CC(C(=O)O)N,Inconclusive,10.0,,,inconclusive agonist,inconclusive agonist,29.8493,30.5478,inactive,,0,NCI
12,144203563.0,4766.0,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,Inactive,0.0,,,inactive,inactive,,0,active antagonist,27.644,-51.4961,NCI
13,144203564.0,79472.0,CC1=CC(=C2C=C(C=CC2=N1)NC(=O)NC3=CC4=C(C=C(N=C4C=C3)C)N)N.Cl.Cl,Inconclusive,30.0,,,inconclusive antagonist,inconclusive antagonist,17.7801,-26.881,inactive,,0,Labotest
14,144203565.0,3080.0,C(C(CS)S)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
15,144203566.0,7048801.0,[C@@H]([C@H](C(=O)O)S)(C(=O)O)S,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
16,144203567.0,51.0,C(CC(=O)O)C(=O)C(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
17,144203568.0,66064.0,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F.Cl.Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,28.1796,-98.7273,active antagonist,28.7255,-87.4831,NCI
18,144203569.0,66435.0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2OP(=O)(O)O)CCC4=C3C=CC(=C4)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
19,144203570.0,8969.0,COC(=O)[C@H]1[C@H](CC[C@@H]2[C@@H]1C[C@H]3C4=C(CCN3C2)C5=CC=CC=C5N4)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
20,144203571.0,10664.0,CC1=NC=C(C(=C1O)CN)CO.Cl.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
21,144203572.0,8739.0,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Chembridge
22,144203573.0,4904.0,C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
23,144203574.0,65463.0,CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl.Cl.Cl,Active,44.0,,,active antagonist,active antagonist,28.1796,-57.2939,inactive,,0,NCI
24,144203575.0,439501.0,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O,Active,50.0,,,active antagonist,active antagonist,1.43968,-47.4582,inactive,,0,NCI
25,144203576.0,65708.0,C1=CC=C2C(=C1)NC(=N2)CCC(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Chemical Block
26,144203577.0,60196259.0,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.C1CNCCN1,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
27,144203578.0,5338.0,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
28,144203579.0,3246155.0,CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4.CS(=O)(=O)O,Inactive,0.0,,,inactive,inactive,,0,active antagonist,29.8493,-50.8733,NCI
29,144203580.0,5920.0,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
30,144203581.0,54724367.0,C[C@@]1(C2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)NCN5CCCC5)N(C)C)O.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
31,144203582.0,7329.0,C1=CC(=C(C=C1Cl)SC2=C(C=CC(=C2)Cl)O)O,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,26.6032,-94.3861,active antagonist,26.6032,-56.2241,NIEHS
32,144203583.0,667466.0,CN(C)CC/C=C/1\C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,18.8336,-50.6818,active antagonist,29.8493,-57.1585,NCI
33,144203584.0,24403.0,[O-]P(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
34,144203585.0,6419941.0,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(C3=CC=CC=C3)O.Br,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
35,144203586.0,6603108.0,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4.Br,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
36,144203587.0,6419978.0,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)[O-].Br,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
37,144203588.0,5459110.0,C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
38,144203589.0,656597.0,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
39,144203590.0,3000668.0,C[N+]1([C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)[O-],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
40,144203591.0,22576.0,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
41,144203592.0,2333.0,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
42,144203593.0,614.0,C1CC(NC1)C(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
43,144203594.0,94280.0,CC1(C2=CC=CC=C2N(C3=CC=CC=C31)CCCN(C)C)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
44,144203595.0,23664709.0,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C.[K+],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
45,144203596.0,546.0,C(C(=O)O)P(=O)(O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
46,144203597.0,16678045.0,CC1=CC(=C(N1C2=CC=CC(=C2)C(=O)O)C)C(=O)O.C1CN2CC3=CCO[C@H]4CC(=O)N5[C@H]6[C@H]4[C@H]3C[C@H]2[C@@]61C7=CC=CC=C75,Inactive,0.0,,,inactive,inactive,,0,inconclusive antagonist,,,NCI
47,144203598.0,14676.0,CN1CCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
48,144203599.0,441358.0,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,26.6032,-62.8254,inconclusive antagonist,31.618,-44.3958,NCI
49,144203600.0,71822.0,CCC1=CC2=C(C=C1)SC3=CC=CC=C3N2CC(C)CN(C)C.Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,29.8493,-114.53,active antagonist,27.644,-77.7815,NCI
50,144203601.0,443939.0,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
51,144203602.0,298391.0,CC1=CC=C(C=C1)S(=O)(=O)O.C1CCC2=C(C1)C=CC=C2NC3=NCCN3,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
52,144203603.0,4078.0,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
53,144203604.0,2348.0,C1=CC=C(C=C1)CC2NC3=CC(=C(C=C3S(=O)(=O)N2)S(=O)(=O)N)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
54,144203605.0,23667629.0,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].[Na+],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
55,144203606.0,122820.0,C1CN(CCC12NC(=O)CS2)CCCN3C4=CC=CC=C4SC5=C3C=C(C=C5)Cl.Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,33.4915,-51.6295,inconclusive antagonist,29.8493,-85.7275,NCI
56,144203607.0,3151.0,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,Inactive,0.0,,,inactive,inactive,,0,inconclusive antagonist,,,NCI
57,144203608.0,65758.0,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC=NC=C3)Cl,Inconclusive,20.0,,,active agonist,active agonist,1.49601,58.4092,inactive,,0,Bionet
58,144203609.0,5694.0,CC1=C(C(=CC=C1)NC2=CC(=NC(=N2)SCC(=O)O)Cl)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Microsource
59,144203610.0,4614.0,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
60,144203611.0,71203.0,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4C(=O)C2,Active,48.0,,,active antagonist,active antagonist,11.3588,-79.965,inactive,,0,"Prestwick Chemical, Inc."
61,144203612.0,3061720.0,CC(C)(C)NCC(C1=NC(=C(C=C1)O)CO)O.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
62,144203613.0,35370.0,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NCI
63,144203614.0,2266.0,C(CCCC(=O)O)CCCC(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
64,144203615.0,2170.0,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
65,144203616.0,1727.0,C1=CN=CC=C1N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
66,144203617.0,2081.0,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Microsource
67,144203618.0,1989.0,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
68,144203619.0,2130.0,C1C2CC3CC1CC(C2)(C3)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
69,144203620.0,169371.0,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Microsource
70,144203621.0,5283389.0,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCC(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
71,144203622.0,119.0,C(CC(=O)O)CN,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
72,144203623.0,1967.0,CC1=C(C(=O)C(=C(C1=O)C)CCCCC#CCCCC#CCO)C,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,28.7255,-66.4274,inconclusive antagonist,28.1796,-34.1413,SigmaAldrich
73,144203624.0,1935.0,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
74,144203625.0,2265.0,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],Inconclusive,10.0,,,inconclusive agonist,inconclusive agonist,19.9496,47.819,inactive,,0,SigmaAldrich
75,144203626.0,135398513.0,C1=NC2=C(N1COCCO)N=C(NC2=O)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
76,144203627.0,2244.0,CC(=O)OC1=CC=CC=C1C(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
77,144203628.0,2141.0,C(CN)CNCCSP(=O)(O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
78,144203629.0,1986.0,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
79,144203630.0,2230.0,CN1CCC=C(C1)C(=O)OC,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
80,144203631.0,16231.0,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
81,144203632.0,564.0,C(CCC(=O)O)CCN,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
82,144203633.0,135401907.0,C1=NNC2=C1C(=O)NC=N2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NIEHS
83,144203634.0,2157.0,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,Inactive,0.0,,,inactive,inactive,,0,inconclusive antagonist,0.421632,-22.7356,BIOMOL
84,144203635.0,2119.0,CC(C)NCC(COC1=CC=CC=C1CC=C)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
85,144203636.0,2123.0,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
86,144203637.0,2196.0,COC1=CC=C(C=C1)C(=O)N2CCCC2=O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
87,144203638.0,4768.0,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
88,144203639.0,2471.0,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
89,144203640.0,2351.0,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,10.1922,-27.2209,inconclusive antagonist,13.3332,-46.5795,BIOMOL
90,144203641.0,2284.0,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
91,144203642.0,2369.0,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
92,144203643.0,2477.0,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
93,144203644.0,2717.0,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
94,144203645.0,1687.0,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,33.4915,-114.729,active antagonist,28.1796,-113.362,BIOMOL
95,144203646.0,2765.0,C1CC1C2=CC=CC=C2OCC3=NCCN3,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
96,144203647.0,2708.0,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Microsource
97,144203648.0,2578.0,C(CCl)NC(=O)N(CCCl)N=O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
98,144203649.0,2754.0,C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Microsource
99,144203650.0,6241.0,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
100,144203651.0,22420.0,C1CNP(=O)(OC1)N(CCCl)CCCl.O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
101,144203652.0,72276.0,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Microsource
102,144203653.0,2727.0,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
103,144203654.0,4211.0,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
104,144203655.0,2554.0,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,Inconclusive,20.0,,,active agonist,active agonist,2.87255,73.7025,inactive,,0,SigmaAldrich
105,144203656.0,2733.0,C1=CC2=C(C=C1Cl)NC(=O)O2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
106,144203657.0,2756.0,CC1=C(N=CN1)CSCCNC(=NC)NC#N,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
107,144203658.0,2720.0,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,NIEHS
108,144203659.0,5309446.0,C1CCN(C1)CC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
109,144203660.0,1547484.0,C1CN(CCN1C/C=C/C2=CC=CC=C2)C(C3=CC=CC=C3)C4=CC=CC=C4,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
110,144203661.0,1355.0,C1CN(CCN1)C2=CC(=CC=C2)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
111,144203662.0,2812.0,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4,Active,53.0,,,active antagonist,active antagonist,6.38752,-104.459,inactive,,0,"Prestwick Chemical, Inc."
112,144203663.0,2913.0,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1,Inactive,0.0,,,inactive,inactive,,0,inconclusive antagonist,29.8493,-127.594,BIOMOL
113,144203664.0,135398737.0,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,Inactive,0.0,,,inactive,inactive,,0,inconclusive antagonist,29.8493,-28.7575,BIOMOL
114,144203665.0,4652.0,C1=CC(=CC=C1CC(C(=O)O)N)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Microsource
115,144203666.0,64927.0,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
116,144203667.0,2796.0,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
117,144203668.0,2801.0,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,Inconclusive,10.0,,,inconclusive agonist (cytotoxic),inconclusive agonist,,,inconclusive antagonist,28.1796,-65.2747,BIOMOL
118,144203669.0,2803.0,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
119,144203670.0,2753.0,CN(C1CCCCC1)C(=O)CCCOC2=CC3=C(C=C2)NC(=O)C=C3,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
120,144203671.0,2726.0,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,Inactive,0.0,,,inactive,inactive,,0,active antagonist,29.8493,-59.1765,BIOMOL
121,144203672.0,2762.0,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
122,144203673.0,2576.0,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
123,144203674.0,19379.0,CN(C)CCOC(=O)COC1=CC=C(C=C1)Cl.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
124,144203675.0,2910.0,C1C2CC(C1C=C2)C3NC4=CC(=C(C=C4S(=O)(=O)N3)S(=O)(=O)N)Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
125,144203676.0,104920.0,C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,19.5704,-117.974,active antagonist,22.8175,-87.3317,BIOMOL
126,144203677.0,36811.0,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O,Inconclusive,25.0,,,inconclusive antagonist (cytotoxic),active antagonist,33.4915,-109.424,active antagonist,28.1796,-124.593,BIOMOL
127,144203678.0,3100.0,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,BIOMOL
128,144203679.0,10649.0,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-],Active,45.0,,,active antagonist,active antagonist,9.37559,-43.7556,inconclusive,,,"Prestwick Chemical, Inc."
129,144203680.0,65327.0,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,"Prestwick Chemical, Inc."
130,144203681.0,6419921.0,CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31.Cl,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,SigmaAldrich
131,144203682.0,3053.0,C(CN(CC(=O)O)CC(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,Inactive,0.0,,,inactive,inactive,,0,inactive,,0,Labotest
